time,Power_kW,HR,pres_mbar,rain_mm/h,solarRad_W/m2,temp_C,windGust_m/s,windSpeed_m/s,Holiday,Weekday,Hour,Month,Power -1,rain_day
2017-01-01 01:00:00,42.7519285,76.30833333333334,1028.1666666666667,0.0,1.4773333333333334,7.93,3.4803333333333337,2.6924166666666665,1,6,1,1,42.99643,
2017-01-01 02:00:00,42.861834,80.27499999999999,1028.0,0.0,1.4150833333333337,7.263416666666667,4.067166666666666,3.30025,1,6,2,1,42.7519285,
2017-01-01 03:00:00,42.317769,81.33333333333333,1028.0,0.0,1.5419999999999998,6.831333333333333,4.423583333333333,3.534333333333333,1,6,3,1,42.861834,
2017-01-01 04:00:00,42.653385,81.24166666666666,1028.0,0.0,0.891,6.50025,5.262333333333333,4.006,1,6,4,1,42.317769,
2017-01-01 05:00:00,42.4377255,81.00833333333334,1028.0,0.0,1.3758333333333332,6.0064166666666665,6.0793333333333335,4.552833333333333,1,6,5,1,42.653385,
2017-01-01 06:00:00,42.307281,80.44166666666666,1027.0,0.0,0.988,5.645833333333333,5.346416666666666,4.004416666666667,1,6,6,1,42.4377255,
2017-01-01 07:00:00,46.7447975,80.19166666666666,1027.0,0.0,1.4661666666666668,5.47775,4.654166666666667,3.17625,1,6,7,1,42.307281,
2017-01-01 08:00:00,46.521709,80.35833333333333,1027.0,0.0,29.54975,5.41025,4.402333333333334,3.4609166666666664,1,6,8,1,46.7447975,
2017-01-01 09:00:00,46.554047,80.09166666666667,1027.0,0.0,76.49416666666667,5.480583333333333,5.680666666666667,4.51075,1,6,9,1,46.521709,
2017-01-01 10:00:00,46.689517,78.79166666666667,1027.0,0.0,192.8083333333333,6.0168333333333335,5.324916666666667,3.9555,1,6,10,1,46.554047,
2017-01-01 11:00:00,46.7360575,76.29166666666667,1026.1666666666667,0.0,237.49166666666667,6.882416666666667,3.3125,2.4581666666666666,1,6,11,1,46.689517,
2017-01-01 12:00:00,46.97313,75.31666666666666,1025.1666666666667,0.0,267.5,7.56,2.8511666666666664,2.150583333333333,1,6,12,1,46.7360575,
2017-01-01 13:00:00,47.654413,72.74916666666667,1023.6666666666666,0.0,203.55,8.73,2.222166666666667,1.5585000000000002,1,6,13,1,46.97313,
2017-01-01 14:00:00,47.892578,70.03083333333333,1023.0,0.0,146.23333333333332,9.809166666666666,1.719083333333333,1.0795833333333331,1,6,14,1,47.654413,
