latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.600006,-9.0,84.0,0,Europe/London,GMT

time,temperature_2m (°C),relativehumidity_2m (%),surface_pressure (hPa),precipitation (mm),direct_radiation (W/m²),windspeed_10m (m/s),windgusts_10m (m/s)
2017-01-01T00:00,7.4,92,1020.0,0.00,0.0,2.32,4.20
2017-01-01T01:00,7.3,92,1019.6,0.00,0.0,2.30,4.30
2017-01-01T02:00,7.0,92,1018.9,0.00,0.0,2.20,4.30
2017-01-01T03:00,6.8,92,1018.9,0.00,0.0,2.20,4.40
2017-01-01T04:00,6.1,94,1018.6,0.00,0.0,2.10,4.60
2017-01-01T05:00,5.7,95,1018.4,0.00,0.0,2.01,4.50
2017-01-01T06:00,5.5,95,1018.1,0.00,0.0,2.50,4.40
2017-01-01T07:00,5.9,95,1017.8,0.00,0.0,2.91,5.00
2017-01-01T08:00,6.1,94,1018.0,0.00,0.0,3.21,5.30
2017-01-01T09:00,6.9,93,1017.8,0.00,16.0,3.30,5.70
2017-01-01T10:00,9.1,86,1017.7,0.00,101.0,3.40,5.90
2017-01-01T11:00,10.8,81,1017.4,0.00,160.0,3.89,6.10
2017-01-01T12:00,12.4,76,1016.5,0.00,219.0,4.19,6.50
2017-01-01T13:00,13.3,73,1015.4,0.00,180.0,4.38,6.80
2017-01-01T14:00,13.7,71,1014.4,0.00,113.0,4.83,7.10
2017-01-01T15:00,13.9,70,1013.6,0.00,89.0,5.10,7.10
2017-01-01T16:00,13.8,70,1013.1,0.00,59.0,4.66,7.00
2017-01-01T17:00,13.4,73,1013.0,0.00,31.0,4.46,6.60
2017-01-01T18:00,12.9,75,1012.4,0.00,0.0,4.54,6.40
2017-01-01T19:00,12.6,78,1011.9,0.10,0.0,4.75,7.30
2017-01-01T20:00,12.4,79,1011.3,0.10,0.0,5.07,7.70
2017-01-01T21:00,12.3,79,1010.7,0.00,0.0,5.51,8.50
2017-01-01T22:00,12.1,81,1010.1,0.00,0.0,6.20,9.40
2017-01-01T23:00,12.0,85,1009.3,0.00,0.0,6.95,10.70
2017-01-02T00:00,11.7,88,1008.3,0.00,0.0,7.62,11.60
2017-01-02T01:00,11.4,89,1007.5,0.00,0.0,7.79,12.00
2017-01-02T02:00,11.4,88,1006.5,0.00,0.0,7.87,12.50
2017-01-02T03:00,11.5,89,1005.9,0.10,0.0,8.23,13.10
2017-01-02T04:00,11.7,88,1005.3,0.40,0.0,8.42,14.00
2017-01-02T05:00,11.9,89,1004.6,0.90,0.0,8.94,15.30
2017-01-02T06:00,12.1,88,1003.9,1.00,0.0,9.44,15.80
2017-01-02T07:00,12.5,87,1003.7,0.50,0.0,9.21,15.70
2017-01-02T08:00,12.9,86,1003.8,0.10,0.0,9.71,15.60
2017-01-02T09:00,13.4,83,1003.9,0.10,6.0,9.63,16.10
2017-01-02T10:00,13.9,80,1004.9,0.80,8.0,9.98,16.30
2017-01-02T11:00,14.2,80,1005.2,1.00,12.0,10.07,17.20
2017-01-02T12:00,14.4,82,1004.7,1.60,2.0,10.51,18.60
2017-01-02T13:00,14.1,86,1004.1,1.70,1.0,10.29,17.40
2017-01-02T14:00,13.8,87,1003.7,2.00,0.0,10.88,19.00
2017-01-02T15:00,13.9,87,1003.7,1.90,10.0,11.17,19.10
2017-01-02T16:00,13.9,88,1003.7,1.90,2.0,10.66,19.20
2017-01-02T17:00,13.9,88,1004.0,1.70,6.0,10.18,19.00
2017-01-02T18:00,13.9,89,1004.3,1.80,0.0,9.05,18.20
2017-01-02T19:00,14.0,91,1005.1,3.30,0.0,8.64,15.90
2017-01-02T20:00,14.0,92,1005.9,3.20,0.0,7.80,14.80
2017-01-02T21:00,14.2,92,1006.5,2.50,0.0,7.60,13.50
2017-01-02T22:00,14.2,92,1007.5,2.10,0.0,7.12,12.60
2017-01-02T23:00,14.3,92,1007.9,0.10,0.0,7.32,11.90
2017-01-03T00:00,14.3,92,1008.1,0.00,0.0,7.26,11.50
2017-01-03T01:00,14.2,94,1008.1,0.00,0.0,6.97,10.90
2017-01-03T02:00,14.3,93,1008.2,0.00,0.0,6.43,10.20
2017-01-03T03:00,14.3,92,1008.7,0.10,0.0,6.11,9.80
2017-01-03T04:00,14.1,93,1009.1,0.20,0.0,5.65,9.60
2017-01-03T05:00,14.2,93,1009.3,0.20,0.0,5.04,8.90
2017-01-03T06:00,14.2,92,1010.0,0.20,0.0,4.61,8.00
2017-01-03T07:00,14.2,93,1010.6,0.60,0.0,4.54,7.50
2017-01-03T08:00,14.3,92,1011.6,0.50,0.0,4.30,7.20
2017-01-03T09:00,14.5,93,1012.6,0.40,13.0,4.14,7.20
2017-01-03T10:00,15.0,92,1013.9,0.30,30.0,4.47,7.30
2017-01-03T11:00,15.2,90,1014.6,0.30,42.0,4.20,7.20
2017-01-03T12:00,15.3,90,1014.4,0.40,44.0,4.59,7.40
2017-01-03T13:00,15.5,89,1014.4,0.20,35.0,5.02,8.00
2017-01-03T14:00,15.3,90,1014.1,0.50,39.0,5.35,8.30
2017-01-03T15:00,15.7,87,1014.3,0.00,150.0,4.94,8.00
2017-01-03T16:00,15.5,88,1014.5,0.00,57.0,4.73,7.90
2017-01-03T17:00,15.1,91,1014.8,0.00,19.0,4.30,7.20
2017-01-03T18:00,14.5,93,1015.5,0.00,0.0,3.90,6.40
2017-01-03T19:00,14.8,91,1015.9,0.00,0.0,3.24,6.00
2017-01-03T20:00,14.5,92,1016.3,0.00,0.0,3.14,4.90
2017-01-03T21:00,14.3,92,1016.6,0.00,0.0,3.26,4.90
2017-01-03T22:00,14.1,93,1017.3,0.20,0.0,3.06,4.90
2017-01-03T23:00,13.9,93,1017.8,0.10,0.0,2.86,4.70
2017-01-04T00:00,13.8,93,1017.6,0.00,0.0,2.91,4.50
2017-01-04T01:00,13.5,94,1017.6,0.00,0.0,2.97,4.40
2017-01-04T02:00,13.3,94,1017.6,0.00,0.0,2.92,4.40
2017-01-04T03:00,13.2,94,1017.6,0.00,0.0,2.86,4.50
2017-01-04T04:00,13.1,94,1017.8,0.00,0.0,2.86,4.50
2017-01-04T05:00,12.9,95,1017.6,0.10,0.0,2.87,4.40
2017-01-04T06:00,12.8,95,1017.8,0.30,0.0,2.87,4.40
2017-01-04T07:00,12.7,96,1018.0,0.00,0.0,2.91,4.40
2017-01-04T08:00,12.6,96,1018.5,0.00,0.0,3.00,4.60
2017-01-04T09:00,12.9,96,1018.7,0.00,22.0,3.22,5.00
2017-01-04T10:00,13.9,94,1019.5,0.00,87.0,3.49,5.70
2017-01-04T11:00,14.9,90,1019.8,0.00,124.0,3.79,6.40
2017-01-04T12:00,15.7,86,1019.1,0.00,192.0,3.86,6.60
2017-01-04T13:00,16.3,82,1018.6,0.00,241.0,3.61,6.20
2017-01-04T14:00,16.5,80,1018.1,0.00,169.0,3.45,6.10
2017-01-04T15:00,16.5,80,1018.1,0.00,196.0,3.32,5.70
2017-01-04T16:00,16.3,82,1018.2,0.00,100.0,2.93,5.20
2017-01-04T17:00,15.7,87,1018.5,0.00,41.0,2.43,4.30
2017-01-04T18:00,14.8,92,1018.7,0.00,2.0,2.12,3.30
2017-01-04T19:00,13.5,96,1018.8,0.00,0.0,2.24,3.10
2017-01-04T20:00,13.3,96,1018.8,0.00,0.0,2.43,2.90
2017-01-04T21:00,13.5,96,1018.6,0.00,0.0,2.09,2.80
2017-01-04T22:00,13.3,97,1018.8,0.00,0.0,1.89,2.70
2017-01-04T23:00,11.3,100,1019.0,0.00,0.0,1.64,2.50
2017-01-05T00:00,10.7,100,1018.7,0.00,0.0,1.52,2.80
2017-01-05T01:00,10.7,100,1018.5,0.00,0.0,1.46,3.30
2017-01-05T02:00,10.8,100,1018.3,0.00,0.0,1.41,3.40
2017-01-05T03:00,10.7,100,1018.2,0.00,0.0,1.30,3.50
2017-01-05T04:00,10.5,100,1017.9,0.00,0.0,1.20,3.40
2017-01-05T05:00,10.2,100,1017.5,0.00,0.0,0.91,3.30
2017-01-05T06:00,9.9,99,1017.5,0.00,0.0,0.70,3.00
2017-01-05T07:00,9.5,99,1017.3,0.00,0.0,0.92,2.60
2017-01-05T08:00,9.5,99,1017.5,0.00,0.0,1.36,3.20
2017-01-05T09:00,9.8,98,1017.9,0.00,7.0,1.58,3.70
2017-01-05T10:00,10.6,97,1018.5,0.00,24.0,1.79,3.80
2017-01-05T11:00,11.4,98,1018.5,0.00,53.0,1.62,3.70
2017-01-05T12:00,12.1,95,1018.3,0.00,64.0,1.17,3.50
2017-01-05T13:00,13.5,89,1017.6,0.00,87.0,0.58,3.00
2017-01-05T14:00,14.3,87,1017.0,0.00,143.0,0.70,2.80
2017-01-05T15:00,14.9,83,1016.8,0.00,159.0,1.20,3.60
2017-01-05T16:00,15.1,81,1016.8,0.00,119.0,1.61,4.20
2017-01-05T17:00,14.7,84,1016.9,0.00,29.0,1.51,4.40
2017-01-05T18:00,13.9,87,1017.3,0.00,1.0,1.82,4.60
2017-01-05T19:00,13.4,87,1016.9,0.00,0.0,2.04,3.20
2017-01-05T20:00,12.7,89,1017.0,0.00,0.0,2.04,3.30
2017-01-05T21:00,12.0,92,1016.9,0.00,0.0,2.28,3.70
2017-01-05T22:00,11.5,93,1017.3,0.00,0.0,2.16,4.10
2017-01-05T23:00,11.0,94,1016.9,0.00,0.0,2.16,4.50
2017-01-06T00:00,10.7,94,1017.3,0.00,0.0,2.06,4.80
2017-01-06T01:00,10.4,95,1017.1,0.00,0.0,1.97,4.80
2017-01-06T02:00,9.9,95,1017.3,0.00,0.0,1.94,4.60
2017-01-06T03:00,9.5,95,1017.3,0.00,0.0,2.19,4.40
2017-01-06T04:00,9.1,95,1017.5,0.00,0.0,2.58,4.50
2017-01-06T05:00,8.8,95,1017.2,0.00,0.0,2.92,5.20
2017-01-06T06:00,8.4,94,1017.3,0.00,0.0,3.00,5.50
2017-01-06T07:00,8.4,97,1017.6,0.00,0.0,3.09,5.60
2017-01-06T08:00,8.3,96,1017.8,0.00,0.0,3.26,5.90
2017-01-06T09:00,8.3,94,1018.3,0.00,10.0,3.49,6.20
2017-01-06T10:00,9.1,91,1019.1,0.00,50.0,3.09,6.40
2017-01-06T11:00,10.7,85,1018.7,0.00,147.0,3.18,6.40
2017-01-06T12:00,12.2,79,1018.4,0.00,325.0,3.13,6.20
2017-01-06T13:00,13.4,74,1017.7,0.00,379.0,3.08,5.90
2017-01-06T14:00,14.3,70,1017.3,0.00,384.0,2.93,5.40
2017-01-06T15:00,14.8,67,1017.0,0.00,315.0,2.81,5.10
2017-01-06T16:00,14.9,66,1017.2,0.00,209.0,2.61,4.90
2017-01-06T17:00,14.3,70,1017.6,0.00,81.0,1.80,4.50
2017-01-06T18:00,13.2,76,1017.8,0.00,4.0,2.42,3.50
2017-01-06T19:00,11.6,84,1018.1,0.00,0.0,2.41,4.10
2017-01-06T20:00,10.6,87,1018.5,0.00,0.0,2.42,4.00
2017-01-06T21:00,10.0,87,1018.7,0.00,0.0,2.43,4.20
2017-01-06T22:00,9.7,88,1019.1,0.00,0.0,2.63,4.40
2017-01-06T23:00,9.4,89,1019.6,0.00,0.0,2.75,4.60
2017-01-07T00:00,9.1,89,1019.4,0.00,0.0,2.79,4.80
2017-01-07T01:00,8.8,89,1019.4,0.00,0.0,2.85,5.00
2017-01-07T02:00,8.5,90,1019.1,0.00,0.0,2.75,5.20
2017-01-07T03:00,8.2,90,1019.1,0.00,0.0,2.60,5.10
2017-01-07T04:00,8.0,91,1019.3,0.00,0.0,2.56,4.80
2017-01-07T05:00,7.7,91,1019.1,0.00,0.0,2.82,5.00
2017-01-07T06:00,7.4,90,1019.6,0.00,0.0,3.00,5.20
2017-01-07T07:00,7.2,89,1019.7,0.00,0.0,3.18,5.30
2017-01-07T08:00,7.0,89,1020.5,0.00,0.0,3.18,5.50
2017-01-07T09:00,7.4,87,1020.9,0.00,36.0,3.45,5.90
2017-01-07T10:00,9.1,82,1021.7,0.00,154.0,3.26,6.00
2017-01-07T11:00,10.9,78,1021.7,0.00,279.0,3.13,5.90
2017-01-07T12:00,12.7,73,1021.1,0.00,369.0,3.01,5.80
2017-01-07T13:00,13.9,70,1020.1,0.00,409.0,2.57,5.40
2017-01-07T14:00,14.7,68,1019.8,0.00,389.0,2.06,4.60
2017-01-07T15:00,15.0,67,1019.8,0.00,319.0,1.52,3.80
2017-01-07T16:00,15.0,67,1020.0,0.00,213.0,1.42,3.10
2017-01-07T17:00,14.2,72,1020.1,0.00,83.0,1.53,2.80
2017-01-07T18:00,12.8,77,1020.2,0.00,4.0,2.25,3.50
2017-01-07T19:00,11.5,79,1020.3,0.00,0.0,2.44,4.40
2017-01-07T20:00,10.7,80,1020.6,0.00,0.0,2.70,4.30
2017-01-07T21:00,10.0,80,1020.6,0.00,0.0,2.83,4.40
2017-01-07T22:00,9.4,80,1021.0,0.00,0.0,2.34,4.70
2017-01-07T23:00,8.8,80,1020.8,0.00,0.0,2.69,5.10
2017-01-08T00:00,8.4,80,1020.7,0.00,0.0,2.83,5.30
2017-01-08T01:00,8.0,81,1020.3,0.00,0.0,3.05,5.30
2017-01-08T02:00,7.6,82,1020.2,0.00,0.0,3.06,5.40
2017-01-08T03:00,7.2,83,1020.0,0.00,0.0,3.02,5.60
2017-01-08T04:00,7.0,84,1020.1,0.00,0.0,3.05,5.60
2017-01-08T05:00,6.7,85,1020.1,0.00,0.0,3.00,5.50
2017-01-08T06:00,6.4,86,1020.1,0.00,0.0,3.05,5.40
2017-01-08T07:00,6.2,87,1020.3,0.00,0.0,3.05,5.40
2017-01-08T08:00,6.0,88,1020.8,0.00,0.0,3.20,5.60
2017-01-08T09:00,6.3,86,1021.1,0.00,39.0,3.38,5.90
2017-01-08T10:00,8.0,81,1022.0,0.00,160.0,2.95,6.00
2017-01-08T11:00,9.8,77,1022.2,0.00,289.0,2.66,5.70
2017-01-08T12:00,11.4,73,1021.6,0.00,382.0,2.55,5.50
2017-01-08T13:00,12.6,68,1020.8,0.00,423.0,2.64,5.30
2017-01-08T14:00,13.4,63,1019.9,0.00,407.0,2.73,5.00
2017-01-08T15:00,13.7,60,1019.9,0.00,337.0,3.04,5.10
2017-01-08T16:00,13.7,59,1019.8,0.00,223.0,3.47,5.60
2017-01-08T17:00,12.8,65,1020.0,0.00,89.0,3.14,5.80
2017-01-08T18:00,11.6,69,1019.8,0.00,5.0,3.45,5.80
2017-01-08T19:00,10.7,72,1019.9,0.00,0.0,3.67,6.00
2017-01-08T20:00,10.0,75,1019.9,0.00,0.0,3.67,6.10
2017-01-08T21:00,9.4,77,1020.1,0.00,0.0,3.67,6.10
2017-01-08T22:00,8.9,78,1020.1,0.00,0.0,3.37,6.10
2017-01-08T23:00,8.5,78,1019.9,0.00,0.0,3.34,6.10
2017-01-09T00:00,8.1,79,1019.8,0.00,0.0,3.24,6.10
2017-01-09T01:00,7.7,80,1019.4,0.00,0.0,3.22,5.90
2017-01-09T02:00,7.3,82,1019.2,0.00,0.0,3.21,5.60
2017-01-09T03:00,6.9,84,1019.2,0.00,0.0,3.20,5.30
2017-01-09T04:00,6.5,84,1019.2,0.00,0.0,3.40,5.20
2017-01-09T05:00,6.1,85,1018.7,0.00,0.0,3.50,5.20
2017-01-09T06:00,5.7,86,1018.8,0.00,0.0,3.60,5.30
2017-01-09T07:00,5.9,86,1019.1,0.00,0.0,3.61,6.20
2017-01-09T08:00,5.6,87,1019.2,0.00,0.0,3.63,5.90
2017-01-09T09:00,6.3,85,1020.1,0.00,39.0,3.81,5.90
2017-01-09T10:00,8.6,74,1020.8,0.00,159.0,3.49,6.30
2017-01-09T11:00,10.3,65,1020.9,0.00,286.0,3.08,6.20
2017-01-09T12:00,11.8,60,1019.9,0.00,377.0,2.62,5.90
2017-01-09T13:00,13.0,57,1019.4,0.00,418.0,2.56,5.50
2017-01-09T14:00,14.1,55,1018.8,0.00,403.0,3.60,6.00
2017-01-09T15:00,14.7,55,1018.8,0.00,334.0,4.00,6.70
2017-01-09T16:00,14.7,58,1018.3,0.00,222.0,4.00,6.90
2017-01-09T17:00,13.7,65,1018.6,0.00,89.0,4.31,7.20
2017-01-09T18:00,12.4,71,1019.0,0.00,5.0,5.10,8.20
2017-01-09T19:00,11.6,73,1019.1,0.00,0.0,5.00,8.30
2017-01-09T20:00,10.8,75,1019.0,0.00,0.0,5.31,8.30
2017-01-09T21:00,10.4,77,1019.0,0.00,0.0,4.81,8.50
2017-01-09T22:00,10.0,79,1019.1,0.00,0.0,4.44,7.90
2017-01-09T23:00,9.7,81,1018.8,0.00,0.0,4.44,7.50
2017-01-10T00:00,9.6,83,1019.1,0.00,0.0,5.03,8.00
2017-01-10T01:00,9.7,85,1018.9,0.00,0.0,6.14,9.00
2017-01-10T02:00,9.8,88,1018.7,0.00,0.0,6.06,9.20
2017-01-10T03:00,10.1,90,1018.1,0.00,0.0,6.31,10.50
2017-01-10T04:00,10.4,90,1018.0,0.00,0.0,6.60,10.90
2017-01-10T05:00,10.5,89,1017.7,0.00,0.0,6.94,10.50
2017-01-10T06:00,10.7,89,1017.4,0.00,0.0,7.24,11.30
2017-01-10T07:00,11.1,87,1017.7,0.00,0.0,7.50,11.80
2017-01-10T08:00,11.3,88,1017.8,0.00,0.0,7.75,12.60
2017-01-10T09:00,11.7,85,1018.1,0.00,19.0,7.65,12.50
2017-01-10T10:00,12.9,81,1018.7,0.00,65.0,7.11,12.40
2017-01-10T11:00,14.1,77,1018.0,0.00,152.0,7.97,12.70
2017-01-10T12:00,15.2,70,1017.4,0.00,182.0,9.08,15.30
2017-01-10T13:00,15.3,71,1016.3,0.00,128.0,8.64,15.60
2017-01-10T14:00,15.1,68,1015.4,0.00,196.0,8.67,14.40
2017-01-10T15:00,14.6,69,1015.2,0.00,51.0,8.66,14.70
2017-01-10T16:00,14.0,71,1015.4,0.00,27.0,8.53,14.70
2017-01-10T17:00,13.4,73,1015.5,0.00,25.0,8.56,15.30
2017-01-10T18:00,12.6,75,1016.0,0.00,3.0,8.81,15.00
2017-01-10T19:00,12.6,80,1016.1,0.00,0.0,8.70,14.30
2017-01-10T20:00,12.4,80,1015.6,0.00,0.0,8.30,13.90
2017-01-10T21:00,12.1,81,1016.0,0.00,0.0,8.10,13.50
2017-01-10T22:00,11.9,82,1015.7,0.00,0.0,7.50,13.10
2017-01-10T23:00,11.7,83,1015.9,0.00,0.0,7.52,12.80
2017-01-11T00:00,11.5,84,1016.0,0.00,0.0,7.90,12.80
2017-01-11T01:00,11.3,85,1015.9,0.00,0.0,8.00,12.80
2017-01-11T02:00,11.0,87,1015.3,0.00,0.0,7.70,12.30
2017-01-11T03:00,10.8,87,1015.1,0.00,0.0,7.50,11.90
2017-01-11T04:00,10.6,87,1015.5,0.00,0.0,7.32,11.70
2017-01-11T05:00,10.3,88,1015.5,0.00,0.0,7.02,11.30
2017-01-11T06:00,10.2,88,1015.8,0.00,0.0,7.21,10.90
2017-01-11T07:00,10.6,88,1016.0,0.00,0.0,7.13,11.60
2017-01-11T08:00,10.4,89,1016.6,0.00,0.0,6.89,11.40
2017-01-11T09:00,10.8,88,1017.4,0.00,33.0,6.62,11.00
2017-01-11T10:00,11.9,82,1018.0,0.00,147.0,6.45,10.40
2017-01-11T11:00,13.3,76,1017.9,0.00,268.0,5.82,10.10
2017-01-11T12:00,14.7,71,1017.7,0.00,360.0,5.19,9.30
2017-01-11T13:00,15.9,68,1017.0,0.00,409.0,4.66,8.30
2017-01-11T14:00,16.8,66,1016.7,0.00,391.0,4.15,7.40
2017-01-11T15:00,17.3,65,1016.8,0.00,331.0,3.88,6.90
2017-01-11T16:00,17.2,67,1017.0,0.00,218.0,3.44,6.60
2017-01-11T17:00,16.4,73,1017.3,0.00,88.0,3.04,6.10
2017-01-11T18:00,14.9,79,1017.6,0.00,6.0,2.89,5.30
2017-01-11T19:00,14.0,84,1017.9,0.00,0.0,2.73,4.40
2017-01-11T20:00,12.9,89,1018.1,0.00,0.0,3.01,4.40
2017-01-11T21:00,12.3,91,1018.7,0.00,0.0,3.11,4.80
2017-01-11T22:00,11.8,93,1018.7,0.00,0.0,2.84,4.80
2017-01-11T23:00,11.2,95,1018.6,0.00,0.0,2.63,4.70
2017-01-12T00:00,10.9,95,1018.8,0.00,0.0,2.51,4.90
2017-01-12T01:00,10.5,97,1018.8,0.00,0.0,2.62,4.80
2017-01-12T02:00,10.2,98,1018.6,0.00,0.0,2.55,4.60
2017-01-12T03:00,10.1,99,1018.5,0.00,0.0,2.55,4.90
2017-01-12T04:00,9.9,99,1018.4,0.00,0.0,2.35,4.70
2017-01-12T05:00,9.9,99,1018.4,0.00,0.0,1.93,4.40
2017-01-12T06:00,9.8,99,1018.0,0.00,0.0,1.70,4.00
2017-01-12T07:00,9.5,99,1018.3,0.00,0.0,1.21,3.20
2017-01-12T08:00,9.5,99,1019.0,0.00,0.0,0.86,2.70
2017-01-12T09:00,9.9,98,1019.5,0.00,8.0,1.30,2.80
2017-01-12T10:00,10.9,96,1020.5,0.00,47.0,1.84,3.90
2017-01-12T11:00,11.7,95,1020.2,0.00,44.0,1.41,3.90
2017-01-12T12:00,12.7,92,1019.9,0.00,49.0,1.36,4.10
2017-01-12T13:00,13.6,87,1019.4,0.00,82.0,2.90,5.60
2017-01-12T14:00,14.2,82,1018.9,0.00,27.0,4.20,7.10
2017-01-12T15:00,14.2,80,1018.2,0.00,4.0,4.03,7.20
2017-01-12T16:00,14.1,78,1018.4,0.00,4.0,4.39,6.90
2017-01-12T17:00,13.7,79,1018.4,0.00,16.0,4.05,7.40
2017-01-12T18:00,13.2,81,1018.5,0.00,1.0,3.92,6.80
2017-01-12T19:00,12.8,83,1018.8,0.00,0.0,4.08,6.40
2017-01-12T20:00,12.7,83,1018.8,0.00,0.0,4.49,6.80
2017-01-12T21:00,12.6,84,1019.1,0.00,0.0,4.85,7.40
2017-01-12T22:00,12.6,84,1019.7,0.00,0.0,4.69,7.80
2017-01-12T23:00,12.4,85,1019.6,0.00,0.0,4.37,7.70
2017-01-13T00:00,12.1,87,1019.4,0.00,0.0,4.46,7.20
2017-01-13T01:00,11.6,89,1019.2,0.00,0.0,4.93,7.80
2017-01-13T02:00,11.5,91,1019.1,0.00,0.0,5.41,8.80
2017-01-13T03:00,11.6,91,1018.9,0.00,0.0,6.22,10.00
2017-01-13T04:00,11.6,87,1018.8,0.00,0.0,7.03,11.60
2017-01-13T05:00,11.1,78,1018.8,0.00,0.0,7.65,13.00
2017-01-13T06:00,10.6,75,1019.1,0.00,0.0,8.02,13.30
2017-01-13T07:00,10.5,77,1019.5,0.00,0.0,7.90,13.10
2017-01-13T08:00,10.4,75,1020.0,0.00,0.0,7.70,12.90
2017-01-13T09:00,10.7,73,1020.8,0.00,10.0,7.30,12.30
2017-01-13T10:00,11.3,67,1021.4,0.00,10.0,7.02,11.50
2017-01-13T11:00,11.7,63,1021.5,0.00,63.0,7.67,12.40
2017-01-13T12:00,12.3,60,1021.0,0.00,177.0,7.64,12.90
2017-01-13T13:00,12.8,58,1020.3,0.00,326.0,7.90,12.80
2017-01-13T14:00,12.9,56,1019.5,0.00,380.0,8.10,12.90
2017-01-13T15:00,12.8,56,1019.6,0.00,313.0,8.20,13.00
2017-01-13T16:00,12.3,58,1019.4,0.00,212.0,8.20,13.00
2017-01-13T17:00,11.6,62,1020.0,0.00,89.0,7.70,12.90
2017-01-13T18:00,10.7,66,1020.0,0.00,7.0,7.70,12.00
2017-01-13T19:00,10.2,70,1020.4,0.00,0.0,7.80,12.60
2017-01-13T20:00,9.8,70,1020.4,0.00,0.0,7.83,12.50
2017-01-13T21:00,9.6,70,1020.6,0.00,0.0,7.75,12.40
2017-01-13T22:00,9.4,70,1021.2,0.00,0.0,7.51,12.40
2017-01-13T23:00,9.2,71,1021.2,0.00,0.0,7.02,12.30
2017-01-14T00:00,9.0,71,1021.2,0.00,0.0,6.71,11.90
2017-01-14T01:00,8.7,71,1020.9,0.00,0.0,6.58,11.70
2017-01-14T02:00,8.4,71,1021.0,0.00,0.0,6.56,11.60
2017-01-14T03:00,8.2,69,1021.0,0.00,0.0,6.56,11.70
2017-01-14T04:00,7.9,69,1021.0,0.00,0.0,6.79,12.00
2017-01-14T05:00,7.5,70,1020.7,0.00,0.0,7.02,12.10
2017-01-14T06:00,7.1,73,1020.8,0.00,0.0,7.16,12.10
2017-01-14T07:00,6.8,73,1021.0,0.00,0.0,7.16,11.80
2017-01-14T08:00,6.4,75,1021.4,0.00,0.0,6.86,11.40
2017-01-14T09:00,6.6,72,1021.7,0.00,41.0,6.78,11.20
2017-01-14T10:00,7.6,66,1022.4,0.00,168.0,6.13,11.10
2017-01-14T11:00,8.8,60,1022.5,0.00,301.0,5.77,11.20
2017-01-14T12:00,10.0,54,1022.4,0.00,397.0,5.30,10.80
2017-01-14T13:00,10.8,50,1021.5,0.00,437.0,5.05,10.20
2017-01-14T14:00,11.5,47,1021.0,0.00,425.0,5.02,9.50
2017-01-14T15:00,11.9,46,1020.8,0.00,357.0,4.92,9.10
2017-01-14T16:00,11.9,46,1020.7,0.00,241.0,5.16,9.10
2017-01-14T17:00,11.3,52,1021.2,0.00,104.0,4.96,9.00
2017-01-14T18:00,10.2,57,1021.2,0.00,9.0,5.38,8.10
2017-01-14T19:00,9.6,62,1021.7,0.00,0.0,5.66,9.10
2017-01-14T20:00,9.0,67,1021.9,0.00,0.0,5.69,9.20
2017-01-14T21:00,8.4,71,1022.2,0.00,0.0,5.46,9.20
2017-01-14T22:00,7.9,73,1022.5,0.00,0.0,5.10,8.80
2017-01-14T23:00,7.5,73,1023.0,0.00,0.0,4.96,8.40
2017-01-15T00:00,7.1,74,1022.8,0.00,0.0,4.67,8.10
2017-01-15T01:00,6.8,74,1022.9,0.00,0.0,4.31,7.70
2017-01-15T02:00,6.4,75,1022.8,0.00,0.0,4.38,7.30
2017-01-15T03:00,6.1,75,1023.1,0.00,0.0,4.31,7.10
2017-01-15T04:00,5.8,75,1023.4,0.00,0.0,4.24,7.10
2017-01-15T05:00,5.6,76,1023.0,0.00,0.0,4.10,6.80
2017-01-15T06:00,5.4,76,1023.3,0.00,0.0,3.97,6.50
2017-01-15T07:00,5.3,76,1023.5,0.00,0.0,3.83,6.70
2017-01-15T08:00,5.1,77,1023.7,0.00,0.0,3.61,6.40
2017-01-15T09:00,5.6,75,1024.3,0.00,42.0,3.89,6.40
2017-01-15T10:00,7.3,68,1024.8,0.00,169.0,3.55,6.60
2017-01-15T11:00,9.2,62,1024.9,0.00,301.0,3.11,6.40
2017-01-15T12:00,10.9,57,1024.1,0.00,397.0,2.62,6.00
2017-01-15T13:00,12.1,50,1023.4,0.00,441.0,2.28,5.70
2017-01-15T14:00,12.7,45,1022.9,0.00,428.0,2.90,5.60
2017-01-15T15:00,13.0,44,1022.6,0.00,359.0,3.63,6.00
2017-01-15T16:00,12.8,46,1022.6,0.00,244.0,3.95,6.40
2017-01-15T17:00,12.0,54,1022.4,0.00,106.0,3.65,6.60
2017-01-15T18:00,10.7,62,1022.6,0.00,9.0,4.12,6.60
2017-01-15T19:00,10.0,67,1022.5,0.00,0.0,4.70,7.40
2017-01-15T20:00,9.3,72,1022.9,0.00,0.0,5.04,7.90
2017-01-15T21:00,8.7,76,1022.7,0.00,0.0,4.90,8.00
2017-01-15T22:00,8.3,79,1022.5,0.00,0.0,4.62,7.90
2017-01-15T23:00,7.9,81,1022.6,0.00,0.0,4.11,7.60
2017-01-16T00:00,7.6,83,1022.2,0.00,0.0,3.92,7.40
2017-01-16T01:00,7.4,85,1021.7,0.00,0.0,3.64,7.30
2017-01-16T02:00,7.1,86,1021.2,0.00,0.0,3.51,7.10
2017-01-16T03:00,6.8,87,1021.2,0.00,0.0,3.49,6.70
